00-standard-libs	skyc-FAIL	SKY-N0004
01-hello-world	SEALED	-
02-go-stdlib	cargo-FAIL	error[E0308]
04-local-pkg	SEALED	-
06-json	cargo-FAIL	error[E0308]
09-live-counter	SEALED	-
10-live-component	SEALED	-
12-skyvote	skyc-FAIL	SKY-N0001
14-task-demo	SEALED	-
15-http-server	skyc-FAIL	SKY-T0001
16-skychess	skyc-FAIL	SKY-N0002
17-skymon	SEALED	-
18-job-queue	cargo-FAIL	error[E0525]
19-skyforum	SEALED	-
20-cli-counter	SEALED	-
21-tui-stopwatch	SEALED	-
22-tui-stopwatch-ui	SEALED	-
23-tui-todo	SEALED	-
24-tui-kitchen-sink	skyc-FAIL	SKY-L0124
25-sky-console	skyc-FAIL	SKY-I0001
27-multi-session-chat	skyc-FAIL	SKY-T0001
28-streaming-chat	skyc-FAIL	SKY-I0001
29-webview-threejs-spike	cargo-FAIL	error[E0271]
30-sse-server-demo	SEALED	-
31-webview-stopwatch-ui	SEALED	-
32-sse-relay	SEALED	-
33-websocket-echo	SEALED	-
34-multi-tier-console	SEALED	-
37-composite-live-shop	skyc-FAIL	SKY-N0004
38-composite-ui-multibackend	skyc-FAIL	SKY-L0115
simple	cargo-FAIL	error[E0308]
spike-css-source	SEALED	-
spike-std-source	SEALED	-
test_pkg	SEALED	-
